line,station,elevator,message,message_html,alternate_url,source_updated_time,extracted_at_utc
Broad Street Subway / Broad Ridge Spur,Fern Rock Transit Center,Street Level,No access to/from station,<ul><li>No access to/from station</li></ul>,https://www5.septa.org/about/accessibility/alternative-transportation/bsl-alternate/,2026-01-26 17:20:46,2026-01-26T222046UTC
Broad Street Subway / Broad Ridge Spur,Olney Transit Center,Street to Mezzanine,No access to/from station,<ul><li>No access to/from station</li></ul>,https://www5.septa.org/about/accessibility/alternative-transportation/bsl-alternate/,2026-01-26 17:20:46,2026-01-26T222046UTC
Broad Street Subway / Broad Ridge Spur,8th-Market,Street Level,No access to/from station,<ul><li>No access to/from station</li></ul>,https://www5.septa.org/about/accessibility/alternative-transportation/bsl-alternate/,2026-01-26 17:20:46,2026-01-26T222046UTC
Market Frankford Line,Frankford Transit Center,Main Terminal Pratt Street,Use Bridge Street for access to/from platforms,<ul><li>Use Bridge Street for access to/from platforms</li></ul>,https://www5.septa.org/about/accessibility/alternative-transportation/mfl-alternate/,2026-01-26 17:20:46,2026-01-26T222046UTC
Market Frankford Line,Kensington-Allegheny,Eastbound,No access to/from eastbound platform,<ul><li>No access to/from eastbound platform</li></ul>,https://www5.septa.org/about/accessibility/alternative-transportation/mfl-alternate/,2026-01-26 17:20:46,2026-01-26T222046UTC
Market Frankford Line,8th-Market,Westbound,No access to/from station,<ul><li>No access to/from station</li></ul>,https://www5.septa.org/about/accessibility/alternative-transportation/mfl-alternate/,2026-01-26 17:20:46,2026-01-26T222046UTC
Market Frankford Line,13th St,Westbound,No access to/from stationNo access to/from Trolley Lines,<ul><li>No access to/from station</li><li>No access to/from Trolley Lines</li></ul>,https://www5.septa.org/about/accessibility/alternative-transportation/mfl-alternate/,2026-01-26 17:20:46,2026-01-26T222046UTC
Market Frankford Line,13th St,Eastbound,No access to/from station,<ul><li>No access to/from station</li></ul>,https://www5.septa.org/about/accessibility/alternative-transportation/mfl-alternate/,2026-01-26 17:20:46,2026-01-26T222046UTC
Market Frankford Line,Millbourne,Eastbound,No access to/from station,<ul><li>No access to/from station</li></ul>,https://www5.septa.org/about/accessibility/alternative-transportation/mfl-alternate/,2026-01-26 17:20:46,2026-01-26T222046UTC
Broad Street Subway / Broad Ridge Spur,North Philadelphia,Southbound,No access to/from southbound platform ,<ul><li>No access to/from southbound platform</li></ul> ,https://www5.septa.org/about/accessibility/alternative-transportation/bsl-alternate/,2026-01-26 17:20:46,2026-01-26T222046UTC
Regional Rail,Chester Transit Center,Inbound,No access to/from inbound platform (To Center City),<ul><li>No access to/from inbound platform (To Center City)</li></ul>,https://www5.septa.org/about/accessibility/alternative-transportation/regional-rail-alternate/,2026-01-26 17:20:46,2026-01-26T222046UTC
Regional Rail,Wilmington,Inbound,No access to/from inbound platform  (service to Center City),<ul><li>No access to/from inbound platform  (service to Center City)</li></ul>,https://www5.septa.org/about/accessibility/alternative-transportation/regional-rail-alternate/,2026-01-26 17:20:46,2026-01-26T222046UTC
